ALT	TITLE	C1	C2	C3	C4
C07	C07	302	7	330	26
C05	C05	397	34	424	57
C07	C07	286	58	315	80
S	S	278	140	296	161
B06	B06	241	135	273	158
B01	B01	304	145	331	167
B01	B01	194	165	225	187
B02	B02	235	162	262	182
B03	B03	300	178	327	198
M	M	263	191	288	212
C03	C03	315	219	343	240
A01	A01	423	173	455	198
B04	B04	580	167	614	190
B04	B04	474	202	505	227
A02	A02	113	256	144	274
A02	A02	60	271	94	293
B05	B05	79	329	113	350
B05	B05	125	318	154	340
B05	B05	272	258	305	281
B04	B04	357	242	387	264
C03	C03	373	269	402	291
A01	A01	515	250	545	272
C02	C02	451	266	480	288
B05	B05	257	309	283	327
B05	B05	286	323	318	347
B05	B05	321	310	353	333
B04	B04	358	297	391	318
AP	AP	609	281	635	305
A04	A04	639	306	670	330
B07	B07	688	282	719	307
C04	C04	893	293	925	313
A05	A05	603	342	631	365
A06	A06	563	345	595	369
C02	C02	523	352	554	378
C04	C04	1066	211	1098	233
AP	AP	1105	222	1128	242
A03	A03	848	395	878	420
A03	A03	868	424	897	444
C04	C04	1212	478	1246	503
C06	C06	1123	595	1155	624
M	M	484	1024	516	1051
